date,time,temp,humi
28/10/2020,14:00:30,24,51
28/10/2020,14:00:31,24,51
28/10/2020,14:00:32,24,50
28/10/2020,14:00:33,24,50
28/10/2020,14:00:35,24,50
28/10/2020,14:00:36,24,50
28/10/2020,14:00:37,24,50
28/10/2020,14:00:38,24,50
28/10/2020,14:00:39,24,50
28/10/2020,14:00:40,24,50
